Processes,Size,Latency
20,4,1.46
20,8,1.46
20,16,1.44
20,32,1.73
20,64,1.88
20,128,2.48
20,256,2.63
20,512,2.81
20,1024,3.42
20,2048,4.73
20,4096,6.74
20,8192,10.08
20,16384,20.27
22,1,1.41
22,2,1.43
22,4,1.42
22,8,1.45
22,16,1.38
22,32,1.77
22,64,1.76
22,128,2.51
22,256,2.56
22,512,2.76
22,1024,3.44
22,2048,4.74
22,4096,7.02
22,8192,10.31
22,16384,20.99
24,1,1.41
24,2,1.42
24,4,1.41
24,8,1.41
24,16,1.39
24,32,1.76
24,64,1.80
24,128,2.51
24,256,2.61
24,512,2.83
24,1024,3.53
24,2048,4.85
24,4096,7.10
24,8192,10.52
24,16384,21.91
26,1,1.53
26,2,1.54
26,4,1.53
26,8,1.80
26,16,1.51
26,32,1.75
26,64,1.75
26,128,2.48
26,256,2.62
26,512,2.78
26,1024,3.49
26,2048,4.87
26,4096,7.09
26,8192,10.96
26,16384,21.49
28,1,1.54
28,2,1.53
28,4,1.52
28,8,1.65
28,16,1.52
28,32,1.74
28,64,1.76
28,128,2.45
28,256,2.54
28,512,2.66
28,1024,3.45
28,2048,4.86
28,4096,7.29
28,8192,11.09
28,16384,22.52
30,1,1.59
30,2,1.57
30,4,1.58
30,8,1.62
30,16,1.58
30,32,1.71
30,64,1.86
30,128,2.37
30,256,2.49
30,512,2.67
30,1024,3.43
30,2048,5.04
30,4096,7.41
30,8192,11.61
30,16384,22.37
32,1,1.98
32,2,1.95
32,4,2.00
32,8,2.47
32,16,1.95
32,32,2.49
32,64,2.52
32,128,3.25
32,256,3.41
32,512,3.70
32,1024,4.36
32,2048,6.08
32,4096,8.67
32,8192,12.94
32,16384,24.63
34,1,3.90
34,2,3.88
34,4,4.09
34,8,3.90
34,16,3.90
34,32,4.33
34,64,4.13
34,128,5.03
34,256,5.23
34,512,5.57
34,1024,6.27
34,2048,8.07
34,4096,10.61
34,8192,15.69
34,16384,28.31
36,1,3.51
36,2,3.53
36,4,3.72
36,8,3.59
36,16,3.54
36,32,3.88
36,64,3.95
36,128,4.81
36,256,5.02
36,512,5.34
36,1024,6.11
36,2048,8.01
36,4096,10.89
36,8192,16.33
36,16384,28.96
38,1,3.49
38,2,3.46
38,4,3.61
38,8,3.44
38,16,3.48
38,32,3.81
38,64,3.87
38,128,4.77
38,256,5.01
38,512,5.28
38,1024,6.34
38,2048,8.31
38,4096,11.36
38,8192,16.88
38,16384,30.09
40,1,3.33
40,2,3.30
40,4,3.36
40,8,3.31
40,16,3.28
40,32,3.70
40,64,3.84
40,128,4.74
40,256,4.89
40,512,5.23
40,1024,6.32
40,2048,8.43
40,4096,11.75
40,8192,17.88
40,16384,32.08
42,1,3.32
42,2,3.45
42,4,3.33
42,8,3.33
42,16,3.32
42,32,3.67
42,64,3.82
42,128,4.71
42,256,4.91
42,512,5.25
42,1024,6.33
42,2048,8.20
42,4096,12.01
42,8192,18.09
42,16384,33.03
44,1,3.10
44,2,3.46
44,4,3.18
44,8,3.14
44,16,3.12
44,32,3.50
44,64,3.69
44,128,4.58
44,256,4.78
44,512,5.09
44,1024,6.12
44,2048,8.15
44,4096,11.67
44,8192,18.10
44,16384,32.76
46,1,3.18
46,2,3.63
46,4,3.18
46,8,3.11
46,16,3.11
46,32,3.52
46,64,3.62
46,128,4.61
46,256,4.82
46,512,5.12
46,1024,6.33
46,2048,8.29
46,4096,12.00
46,8192,18.74
46,16384,33.75
48,1,3.05
48,2,3.50
48,4,3.07
48,8,3.06
48,16,3.01
48,32,3.47
48,64,3.57
48,128,4.54
48,256,4.80
48,512,5.09
48,1024,6.21
48,2048,8.24
48,4096,12.47
48,8192,19.36
48,16384,34.34
